Date;WorkoutName;ExerciseName;SetNumber;Weight;Reps;Notes;WorkoutNotes;WorkoutDuration
2022-09-16 23:07:39;"Evening Workout";"Bench Press (Dumbbell)";1;21;10;;"Push";56m
2022-09-16 23:07:39;"Evening Workout";"Bench Press (Dumbbell)";2;24;10;;;56m
2022-09-16 23:07:39;"Evening Workout";"Bench Press (Dumbbell)";3;30;6;;;56m
2022-09-16 23:07:39;"Evening Workout";"Bench Press (Dumbbell)";1;24;6;;;"Incline";56m
2022-09-16 23:07:39;"Evening Workout";"Bench Press (Dumbbell)";2;26;4;;;56m
2022-09-16 23:07:39;"Evening Workout";"Bench Press (Dumbbell)";3;22;10;;;56m
2022-09-16 23:07:39;"Evening Workout";"Chest Fly (Band)";1;14;15;;;"Flat";56m
2022-09-16 23:07:39;"Evening Workout";"Chest Fly (Band)";2;18;14;;;56m
2022-09-16 23:07:39;"Evening Workout";"Chest Fly (Band)";3;20;12;;;56m
2022-09-16 23:07:39;"Evening Workout";"Triceps Pushdown (Cable - Straight Bar)";1;27;15;;;"Flat";56m
2022-09-16 23:07:39;"Evening Workout";"Triceps Pushdown (Cable - Straight Bar)";2;36;15;;;56m
2022-09-16 23:07:39;"Evening Workout";"Triceps Pushdown (Cable - Straight Bar)";3;59;8;;;56m
2022-09-16 23:07:39;"Evening Workout";"Triceps Extension";1;27;15;;;56m
2022-09-16 23:07:39;"Evening Workout";"Triceps Extension";2;27;10;;;56m
2022-09-16 23:07:39;"Evening Workout";"Triceps Extension";3;18;15;;;56m
2022-09-16 23:07:39;"Evening Workout";"Hammer Curl (Cable)";1;23;12;;;56m
2022-09-16 23:07:39;"Evening Workout";"Hammer Curl (Cable)";2;23;20;;;56m
2022-09-16 23:07:39;"Evening Workout";"Bicep Curl (Cable)";1;36;12;;;56m
2022-09-16 23:07:39;"Evening Workout";"Bicep Curl (Cable)";2;36;12;;;56m
2022-09-16 23:07:39;"Evening Workout";"Shoulder Press (Machine)";1;27;12;;;56m
2022-09-16 23:07:39;"Evening Workout";"Shoulder Press (Machine)";2;32;12;;;56m
2022-09-16 23:07:39;"Evening Workout";"Shoulder Press (Machine)";3;32;12;;;56m
